@relation exito

@attribute actividad {RESTAURANTES, SALUD_Y_BELLEZA, SERVICIOS, ALIMENTACIÓN, MODA_Y_COMPLEMENTOS, DEPORTES_Y_OCIO, TECNOLOGÍA,INFANTIL}
@attribute proximo_accesos {NO,SI}
@attribute proximo_zona_descanso {SI,NO}
@attribute tipo_estableciemiento {LOCAL,STAND}
@attribute tamanio {MEDIANO,PEQUEÑO,GRANDE}
@attribute franquicia {SI,NO}
@attribute proximo_tienda_exitosa {SI,NO}
@attribute precios {BAJOS,MEDIOS,ALTOS}
@attribute tiempo_apertura {POCO,MUCHO}
@attribute exitosa {SI,NO}

@data
SALUD_Y_BELLEZA,NO,NO,LOCAL,MEDIANO,NO,SI,MEDIOS,MUCHO,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,GRANDE,SI,NO,BAJOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO ,SI
MODA_Y_COMPLEMENTOS,SI,NO,LOCAL,PEQUEÑO,NO,NO,MEDIOS,MUCHO,NO
SALUD_Y_BELLEZA,NO,NO,LOCAL,PEQUEÑO,NO,NO,MEDIOS,POCO,NO
RESTAURANTES,NO,NO,LOCAL,MEDIANO,SI,SI,BAJOS,POCO,SI
DEPORTES_Y_OCIO,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO ,NO
MODA_Y_COMPLEMENTOS,SI,NO,LOCAL,PEQUEÑO,NO,SI,MEDIOS,POCO,NO
SALUD_Y_BELLEZA,NO,NO,STAND,PEQUEÑO,NO,NO,BAJOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO,SI
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,NO,NO,MEDIOS,POCO,NO
ALIMENTACIÓN,SI,NO,LOCAL,PEQUEÑO,NO,SI,MEDIOS,MUCHO ,NO
TECNOLOGÍA,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO,SI
TECNOLOGÍA,NO,NO,STAND,PEQUEÑO,NO,NO,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO ,SI
RESTAURANTES,NO,NO,LOCAL,MEDIANO,NO,NO,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO ,SI
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,NO,NO,MEDIOS,MUCHO,NO
INFANTIL,NO,NO,LOCAL,MEDIANO,SI,SI,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,NO,SI,MEDIOS,POCO,NO
RESTAURANTES,SI,NO,LOCAL,MEDIANO,NO,SI,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO,SI
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,GRANDE,SI,NO,ALTOS,MUCHO,SI
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,PEQUEÑO,NO,NO,MEDIOS,POCO,NO
SERVICIOS,NO,NO,LOCAL,PEQUEÑO,NO,NO,MEDIOS,POCO,NO
ALIMENTACIÓN,SI,NO,LOCAL,PEQUEÑO,SI,NO,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,PEQUEÑO,SI,NO,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,SI,SI,LOCAL,MEDIANO,SI,SI,MEDIOS,MUCHO ,SI
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,NO,SI,MEDIOS,MUCHO,NO
TECNOLOGÍA,SI,NO,LOCAL,MEDIANO,SI,NO,BAJOS,POCO,SI
RESTAURANTES,NO,NO,LOCAL,MEDIANO,NO,NO,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,NO,STAND,PEQUEÑO,NO,NO,BAJOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,GRANDE,SI,SI,MEDIOS,MUCHO ,SI
MODA_Y_COMPLEMENTOS,SI,SI,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO,SI
MODA_Y_COMPLEMENTOS,SI,SI,LOCAL,MEDIANO,NO,SI,MEDIOS,POCO,NO
RESTAURANTES,NO,NO,LOCAL,PEQUEÑO,SI,NO,MEDIOS,POCO,SI
MODA_Y_COMPLEMENTOS,SI,NO,LOCAL,PEQUEÑO,NO,NO,MEDIOS,MUCHO ,NO
RESTAURANTES,NO,NO,LOCAL,MEDIANO,SI,SI,MEDIOS,MUCHO ,SI
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,NO,SI,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,SI,NO,MEDIOS,MUCHO ,SI
SALUD_Y_BELLEZA,NO,NO,LOCAL,MEDIANO,NO,SI,MEDIOS,POCO,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,NO,NO,MEDIOS,MUCHO ,NO
