@relation exito

@attribute actividad {RESTAURANTES, SALUD_Y_BELLEZA, SERVICIOS, ALIMENTACIÓN, MODA_Y_COMPLEMENTOS, DEPORTES_Y_OCIO, TECNOLOGÍA,INFANTIL}
@attribute tamanio {MEDIANO,PEQUEÑO,GRANDE}
@attribute franquicia {SI,NO}
@attribute proximo_tienda_exitosa {SI,NO}
@attribute precios {BAJOS,MEDIOS,ALTOS}
@attribute exitosa {SI,NO}

@data
MODA_Y_COMPLEMENTOS,PEQUEÑO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,MEDIANO,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,MEDIANO,NO,SI,MEDIOS,NO
TECNOLOGÍA,MEDIANO,SI,NO,BAJOS,SI
RESTAURANTES,MEDIANO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,PEQUEÑO,NO,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,GRANDE,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,MEDIANO,NO,SI,MEDIOS,NO
RESTAURANTES,PEQUEÑO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,PEQUEÑO,NO,NO,MEDIOS,NO
RESTAURANTES,MEDIANO,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,MEDIANO,SI,NO,MEDIOS,SI
SALUD_Y_BELLEZA,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,MEDIANO,NO,NO,MEDIOS,NO
