@relation exito

@attribute actividad {RESTAURANTES, SALUD_Y_BELLEZA, SERVICIOS, ALIMENTACIÓN, MODA_Y_COMPLEMENTOS, DEPORTES_Y_OCIO, TECNOLOGÍA,INFANTIL}
@attribute proximo_accesos {NO,SI}
@attribute proximo_zona_descanso {SI,NO}
@attribute tipo_estableciemiento {LOCAL,STAND}
@attribute tamanio {MEDIANO,PEQUEÑO,GRANDE}
@attribute franquicia {SI,NO}
@attribute proximo_tienda_exitosa {SI,NO}
@attribute precios {BAJOS,MEDIOS,ALTOS}
@attribute exitosa {SI,NO}

@data
DEPORTES_Y_OCIO,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,SI,NO,LOCAL,PEQUEÑO,NO,SI,MEDIOS,NO
SALUD_Y_BELLEZA,NO,NO,STAND,PEQUEÑO,NO,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,NO,NO,MEDIOS,NO
ALIMENTACIÓN,SI,NO,LOCAL,PEQUEÑO,NO,SI,MEDIOS,NO
TECNOLOGÍA,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,SI
TECNOLOGÍA,NO,NO,STAND,PEQUEÑO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,SI
RESTAURANTES,NO,NO,LOCAL,MEDIANO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,NO,NO,MEDIOS,NO
INFANTIL,NO,NO,LOCAL,MEDIANO,SI,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,NO,SI,MEDIOS,NO
RESTAURANTES,SI,NO,LOCAL,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,GRANDE,SI,NO,ALTOS,SI
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,PEQUEÑO,NO,NO,MEDIOS,NO
SERVICIOS,NO,NO,LOCAL,PEQUEÑO,NO,NO,MEDIOS,NO
ALIMENTACIÓN,SI,NO,LOCAL,PEQUEÑO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,PEQUEÑO,SI,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,SI,SI,LOCAL,MEDIANO,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,NO,SI,MEDIOS,NO
TECNOLOGÍA,SI,NO,LOCAL,MEDIANO,SI,NO,BAJOS,SI
RESTAURANTES,NO,NO,LOCAL,MEDIANO,NO,NO,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,NO,STAND,PEQUEÑO,NO,NO,BAJOS,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,GRANDE,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,SI,LOCAL,MEDIANO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,SI,LOCAL,MEDIANO,NO,SI,MEDIOS,NO
RESTAURANTES,NO,NO,LOCAL,PEQUEÑO,SI,NO,MEDIOS,SI
MODA_Y_COMPLEMENTOS,SI,NO,LOCAL,PEQUEÑO,NO,NO,MEDIOS,NO
RESTAURANTES,NO,NO,LOCAL,MEDIANO,SI,SI,MEDIOS,SI
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,SI,LOCAL,MEDIANO,SI,NO,MEDIOS,SI
SALUD_Y_BELLEZA,NO,NO,LOCAL,MEDIANO,NO,SI,MEDIOS,NO
MODA_Y_COMPLEMENTOS,NO,NO,LOCAL,MEDIANO,NO,NO,MEDIOS,NO
